Air Quality,Water Quality,Earthquake Risk,Forest Fire Risk,Flooding Risk,Pollution Risk,Insurance Cost,Company
40,99,42,78,52,18,3123,Allstate
60,79,58,52,33,5,3312,The Co-operators
24,10,24,32,77,36,3119,Intact Insurance
68,30,86,73,78,55,3463,The Personal
6,11,29,78,80,52,1599,Allstate
69,16,88,29,69,42,2645,Economical Insurance
52,32,25,68,15,26,3231,Economical Insurance
32,70,1,100,3,55,1775,The Personal
23,100,50,37,67,5,2847,Allstate
70,34,75,61,7,65,1822,Allstate
48,63,99,63,49,92,2157,Intact Insurance
21,10,85,42,2,60,1127,Johnson Insurance
3,88,12,5,40,26,1225,The Personal
36,42,5,4,21,43,1473,Belairdirect
7,60,80,64,55,74,2804,Johnson Insurance
73,76,56,92,25,93,3076,Allstate
69,87,5,6,13,92,1012,Belairdirect
17,80,68,33,0,97,3135,The Personal
7,30,41,64,43,53,1817,The Co-operators
98,4,36,90,16,40,3463,Allstate
78,70,80,74,62,61,2193,Allstate
14,60,83,93,85,51,3388,Intact Insurance
84,64,6,19,54,74,2169,Intact Insurance
78,41,47,82,87,23,2551,Johnson Insurance
26,87,4,21,24,97,1945,Belairdirect
67,94,54,75,11,2,1472,Intact Insurance
48,9,92,72,11,79,1655,The Co-operators
38,59,62,79,3,86,1737,The Personal
7,54,36,32,11,72,2816,The Co-operators
86,35,89,6,43,54,1388,The Personal
65,53,63,53,58,84,3128,The Co-operators
98,78,25,83,43,20,1851,Economical Insurance
74,93,100,96,39,0,2941,Economical Insurance
45,19,55,73,91,1,3187,Allstate
32,69,54,15,73,20,2459,Allstate
25,89,9,38,8,81,1899,The Personal
77,90,60,79,40,6,2874,Economical Insurance
98,57,63,1,67,43,3105,Johnson Insurance
45,31,13,50,71,6,2030,Belairdirect
58,13,45,50,43,58,1401,Belairdirect
48,44,6,88,31,83,3436,Economical Insurance
99,63,7,0,40,22,2798,Economical Insurance
67,41,8,78,37,74,2796,Intact Insurance
27,8,48,66,15,27,3456,Johnson Insurance
21,9,31,51,52,29,2302,Intact Insurance
45,26,71,9,69,44,3045,The Co-operators
78,21,7,37,33,6,1992,Belairdirect
